reaction_id	min_flux	max_flux
B_caecimuris_I48_TP_cpd00066_B_caecimuris_I48_e0	-0.053160	-0.047844
B_caecimuris_I48_TP_cpd00129_B_caecimuris_I48_e0	-0.063430	9.235289
B_caecimuris_I48_TP_cpd00054_B_caecimuris_I48_e0	-1.000000	8.292376
B_caecimuris_I48_TP_cpd00161_B_caecimuris_I48_e0	-0.666667	8.625710
B_caecimuris_I48_TP_cpd00065_B_caecimuris_I48_e0	-0.016311	-0.014680
B_caecimuris_I48_TP_cpd00069_B_caecimuris_I48_e0	-0.039568	-0.035611
B_caecimuris_I48_TP_cpd00156_B_caecimuris_I48_e0	-1.000000	0.000000
B_caecimuris_I48_TP_cpd03246_B_caecimuris_I48_e0	-0.333333	0.000000
B_caecimuris_I48_TP_cpd03247_B_caecimuris_I48_e0	-0.333333	0.000000
B_caecimuris_I48_TP_cpd03047_B_caecimuris_I48_e0	-0.333333	0.000000
B_caecimuris_I48_TP_cpd01318_B_caecimuris_I48_e0	-0.333333	0.000000
B_caecimuris_I48_TP_cpd00210_B_caecimuris_I48_e0	0.000000	0.666667
B_caecimuris_I48_TP_cpd00281_B_caecimuris_I48_e0	0.000000	9.880508
B_caecimuris_I48_TP_cpd03198_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00020_B_caecimuris_I48_e0	0.000000	138.659372
B_caecimuris_I48_TP_cpd00053_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00221_B_caecimuris_I48_e0	0.000000	154.069451
B_caecimuris_I48_TP_cpd00164_B_caecimuris_I48_e0	0.000000	0.000000
B_caecimuris_I48_TP_cpd00105_B_caecimuris_I48_e0	0.000000	66.804159
B_caecimuris_I48_TP_cpd00003_B_caecimuris_I48_e0	0.000000	0.863149
B_caecimuris_I48_TP_cpd00309_B_caecimuris_I48_e0	0.000000	3.535991
B_caecimuris_I48_TP_cpd00028_B_caecimuris_I48_e0	0.000000	0.060550
EX_cpd00009_medium	-6.000000	-0.821105
EX_cpd00030_medium	-0.006615	-0.005953
EX_cpd00034_medium	-0.006615	-0.005953
EX_cpd00048_medium	-0.006615	-0.005953
EX_cpd00118_medium	0.000000	8.905841
EX_cpd00149_medium	-0.006615	-0.005953
EX_cpd00179_medium	-0.100000	0.000000
EX_cpd00224_medium	0.000000	0.033333
EX_cpd00244_medium	0.000000	0.000000
EX_cpd00264_medium	0.000000	5.765045
EX_cpd00268_medium	0.000000	0.000000
EX_cpd10516_medium	-0.037743	-0.005953
EX_cpd00067_medium	-53.548046	501.453074
EX_cpd00092_medium	0.000000	12.388773
EX_cpd00367_medium	0.000000	0.297544
EX_cpd00184_medium	0.000000	4.646188
EX_cpd00311_medium	0.000000	4.233343
EX_cpd00130_medium	0.000000	202.673382
EX_cpd00971_medium	0.000000	0.000000
EX_cpd00137_medium	0.000000	145.412231
EX_cpd00041_medium	-4.000000	21.159191
EX_cpd00027_medium	-2.000000	-0.298571
EX_cpd00084_medium	-0.100000	-0.074172
EX_cpd00023_medium	-9.000000	16.159191
EX_cpd00119_medium	-0.081553	3.024061
EX_cpd00051_medium	-2.000000	5.185992
EX_cpd00039_medium	-1.196935	11.336490
EX_cpd00246_medium	0.000000	5.080174
EX_cpd00182_medium	0.000000	4.255388
EX_cpd00013_medium	5.116628	32.221485
EX_cpd00232_medium	0.000000	24.105371
EX_cpd00029_medium	-1.000000	470.505602
EX_cpd04098_medium	0.000000	0.000000
EX_cpd00132_medium	0.000000	12.568019
EX_cpd00063_medium	-0.006615	-0.005953
EX_cpd01012_medium	0.000000	0.000000
EX_cpd00058_medium	-0.006615	-0.005953
EX_cpd10515_medium	-0.100000	0.018953
EX_cpd00047_medium	0.000000	407.424510
EX_cpd00106_medium	0.000000	238.376114
EX_cpd00108_medium	-0.100000	50.132936
EX_cpd00276_medium	0.000000	0.000000
EX_cpd00222_medium	0.000000	59.706487
EX_cpd00080_medium	0.000000	1.726298
EX_cpd00121_medium	0.000000	113.988930
EX_cpd00205_medium	-0.006615	-0.005953
EX_cpd00208_medium	-0.066667	28.695630
EX_cpd01262_medium	0.000000	0.000000
EX_cpd00138_medium	0.000000	69.833333
EX_cpd00060_medium	-0.144227	-0.103976
EX_cpd11574_medium	0.000000	0.000000
EX_cpd00064_medium	0.000000	13.378491
EX_cpd00141_medium	-0.691827	273.361919
EX_cpd01132_medium	0.000000	0.000000
EX_cpd00396_medium	0.000000	0.000000
EX_cpd00036_medium	0.000000	247.401257
EX_cpd00154_medium	0.000000	0.033333
EX_cpd00280_medium	0.000000	0.000000
EX_cpd01217_medium	0.000000	4.995591
EX_cpd00099_medium	-0.006615	-0.005953
EX_cpd00277_medium	0.000000	4.233343
EX_cpd01107_medium	0.000000	0.000000
EX_cpd01741_medium	0.000000	27.188727
EX_cpd03847_medium	-0.004171	0.000000
EX_cpd15298_medium	0.000000	0.000000
EX_cpd00214_medium	0.000000	0.000000
EX_cpd15237_medium	0.000000	0.000000
EX_cpd01080_medium	-0.075481	-0.067933
EX_cpd15269_medium	0.000000	0.000000
EX_cpd01113_medium	0.000000	0.000000
EX_cpd03846_medium	0.000000	0.000000
EX_cpd11640_medium	-59.124383	572.952365
EX_cpd00531_medium	0.000000	0.000000
EX_cpd01399_medium	0.000000	0.000000
EX_cpd00254_medium	-0.006615	-0.005953
EX_cpd00794_medium	0.000000	0.000000
EX_cpd00305_medium	-0.003579	-0.003221
EX_cpd00076_medium	-1.000000	0.000000
EX_cpd00082_medium	-1.000000	69.488750
EX_cpd04097_medium	0.000000	0.000000
EX_cpd00185_medium	0.000000	66.961142
EX_cpd00010_medium	0.000000	0.025828
EX_cpd15494_medium	0.000000	0.000000
EX_cpd11976_medium	0.000000	0.000000
EX_cpd00832_medium	0.000000	0.000000
EX_cpd00100_medium	0.000000	194.099904
EX_cpd00306_medium	-0.033333	0.000000
EX_cpd00314_medium	-0.100000	64.971030
EX_cpd00158_medium	-66.666667	0.000000
EX_cpd11451_medium	0.000000	0.000000
EX_cpd11606_medium	0.000000	0.000000
EX_cpd17026_medium	0.000000	0.000000
EX_cpd17027_medium	0.000000	0.000000
EX_cpd02733_medium	0.000000	0.000000
EX_cpd01354_medium	0.000000	0.000000
EX_cpd03808_medium	0.000000	0.000000
EX_cpd00001_medium	-80.589771	331.996407
EX_cpd11842_medium	0.000000	0.000000
EX_cpd00122_medium	0.000000	15.027717
EX_cpd21520_medium	0.000000	0.000000
