reaction_id	flux
B_caecimuris_I48_rxn01013_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01018_B_caecimuris_I48_c0	1.063565
B_caecimuris_I48_rxn01021_B_caecimuris_I48_c0	0.004343
B_caecimuris_I48_rxn01022_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01028_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01029_B_caecimuris_I48_c0	0.313102
B_caecimuris_I48_rxn01044_B_caecimuris_I48_c0	0.100000
B_caecimuris_I48_rxn01048_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01069_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01075_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01080_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01100_B_caecimuris_I48_c0	-57.159683
B_caecimuris_I48_rxn01102_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01104_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01106_B_caecimuris_I48_c0	-57.159683
B_caecimuris_I48_rxn01115_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01116_B_caecimuris_I48_c0	-1.136555
B_caecimuris_I48_rxn01119_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01122_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01123_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01124_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01127_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01128_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01129_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01137_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01138_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01143_B_caecimuris_I48_c0	0.000000
B_caecimuris_I48_rxn01145_B_caecimuris_I48_c0	0.061022
